"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","2.076896192314673e-8","7.682585209883569","1346","87","26","20208","APOE,CALCA,COL2A1,EGF,F7,FABP4,FGF21,GFAP,GUSB,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,LEFTY2,LEP,LYN,MYH9,NCK2,PLAT,SERPINE1,SHC1,SRC,VAV3,YES1"
"GO:MF","phosphoprotein binding","GO:0051219","false","0.0000033125880958494224","5.479832563158521","93","87","8","20208","LYN,NCK2,PLAT,PTPN6,SHC1,SNCA,SRC,YES1"
"GO:MF","protein binding","GO:0005515","false","0.000020048390616610894","4.697920484608804","15082","87","84","20208","ACY1,AKT2,ANXA2,APOE,ATF2,BHLHE40,CA13,CA6,CALCA,CD163,CDH15,CEACAM8,CES1,CGA,CHIT1,COL2A1,COL4A1,EGF,ENPP7,F7,FABP1,FABP4,FGF21,GAST,GFAP,GGT1,GP1BB,GSTA1,GUSB,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,KIF22,KLK3,LEFTY2,LEP,LIPF,LMNB1,LYN,MMP3,MYH9,MYL3,NBN,NCK2,NPHS2,OCLN,ODAM,PDE5A,PDLIM5,PLAT,PNLIP,PPP2R5A,PRKG1,PSMA1,PSMC3,PSMD1,PSME1,PTPN6,RAD51,RANBP2,RNF5,SAP18,SERPINE1,SHC1,SIRPA,SLC16A1,SMC3,SNCA,SRC,STAT5B,TBL1X,TFF1,TP53BP1,TPMT,TPR,TYMP,VAV3,VIM,VPS37A,WASL,YES1"
"GO:MF","integrin binding","GO:0005178","false","0.0002086767167276487","3.6805260049872426","158","87","8","20208","GFAP,ITGA2,ITGA5,ITGAV,ITGB1,LYN,MYH9,SRC"
"GO:MF","molecular function regulator activity","GO:0098772","true","0.0002664236578235295","3.5744272134130557","2266","87","27","20208","AKT2,ANXA2,APOE,CALCA,CGA,EGF,FGF21,GAST,IGFBP2,LEFTY2,LEP,LYN,NBN,PPP2R5A,PRKG1,PSMD1,PSME1,RAD51,RANBP2,SERPINE1,SIRPA,SNCA,SRC,TFF1,TYMP,VAV3,WASL"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.0004244658997453814","3.3721571938706125","563","87","13","20208","ANXA2,CDH15,GFAP,ITGA2,ITGA5,ITGAV,ITGB1,LYN,MYH9,PDLIM5,PTPN6,SIRPA,SRC"
"GO:MF","molecular function activator activity","GO:0140677","false","0.0016363999795911536","2.786110534590096","1209","87","18","20208","AKT2,APOE,CALCA,CGA,EGF,FGF21,GAST,LEFTY2,LEP,LYN,NBN,PPP2R5A,PSME1,RANBP2,SRC,TFF1,TYMP,VAV3"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.004562985327367402","2.340750927732625","594","87","12","20208","APOE,CALCA,CGA,EGF,FGF21,GAST,IGFBP2,LEFTY2,LEP,LYN,TFF1,TYMP"
"GO:MF","phosphorylation-dependent protein binding","GO:0140031","true","0.004664677343668681","2.331178391083711","10","87","3","20208","LYN,NBN,PTPN6"
"GO:MF","scaffold protein binding","GO:0097110","true","0.005716008533687001","2.2429071315027596","68","87","5","20208","CD163,LYN,NCK2,SRC,VIM"
"GO:MF","enzyme binding","GO:0019899","false","0.007133790555162936","2.1466796454984034","2060","87","23","20208","ANXA2,APOE,ATF2,GFAP,ITGAV,ITGB1,LMNB1,LYN,NCK2,PDLIM5,PPP2R5A,PRKG1,PSMD1,PTPN6,RAD51,RANBP2,RNF5,SERPINE1,SHC1,SIRPA,SRC,TPR,YES1"
"GO:MF","insulin-like growth factor I binding","GO:0031994","false","0.01101395090097895","1.9580568638890052","13","87","3","20208","IGFBP1,IGFBP2,ITGAV"
"GO:MF","cell adhesion mediator activity","GO:0098631","true","0.011191974317786695","1.9510932950902387","78","87","5","20208","ANXA2,ITGA2,ITGB1,PDLIM5,SIRPA"
"GO:MF","growth factor binding","GO:0019838","false","0.012206416815981795","1.9134118041491994","133","87","6","20208","COL2A1,COL4A1,IGFBP1,IGFBP2,ITGAV,SHC1"
"GO:MF","virus receptor activity","GO:0001618","false","0.013446425243201046","1.8713931583010344","81","87","5","20208","ITGA2,ITGA5,ITGAV,ITGB1,MYH9"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.013502501775846713","1.8695857569284295","556","87","11","20208","APOE,CALCA,CGA,EGF,FGF21,GAST,LEFTY2,LEP,LYN,TFF1,TYMP"
"GO:MF","exogenous protein binding","GO:0140272","false","0.014271348788595437","1.8455349796700287","82","87","5","20208","ITGA2,ITGA5,ITGAV,ITGB1,MYH9"
"GO:MF","growth factor receptor binding","GO:0070851","false","0.015660560352827643","1.8051927024449275","139","87","6","20208","EGF,FGF21,ITGA5,LYN,SHC1,VAV3"
"GO:MF","phosphotyrosine residue binding","GO:0001784","true","0.0255806190363049","1.5920889500528945","47","87","4","20208","NCK2,PTPN6,SHC1,YES1"
"GO:MF","insulin-like growth factor binding","GO:0005520","false","0.036625252238710534","1.4362193756343424","19","87","3","20208","IGFBP1,IGFBP2,ITGAV"
"GO:MF","protein-containing complex binding","GO:0044877","false","0.04012308241515394","1.3966057101364209","1252","87","16","20208","APOE,CALCA,GFAP,ITGA2,ITGA5,ITGAV,ITGB1,LYN,MYH9,NCK2,RANBP2,RNF5,SMC3,SNCA,SRC,TPR"
"GO:MF","kinase binding","GO:0019900","false","0.04985951634105046","1.302251938656788","759","87","12","20208","ATF2,GFAP,ITGAV,ITGB1,NCK2,PDLIM5,PPP2R5A,PRKG1,PTPN6,SHC1,SIRPA,TPR"
"GO:BP","wound healing","GO:0042060","true","3.626911481785571e-10","9.440463043658934","439","86","18","20972","ANXA2,APOE,F7,GP1BB,ITGA2,ITGA5,ITGAV,ITGB1,LYN,MYH9,OCLN,ODAM,PLAT,PRKG1,PTPN6,SERPINE1,SRC,VAV3"
"GO:BP","response to stimulus","GO:0050896","false","7.372356853787105e-10","9.132393651222946","9051","86","70","20972","AKT2,ANXA2,APOE,ATF2,BHLHE40,CA6,CALCA,CD163,CEACAM8,CES1,CGA,CHIT1,COL2A1,COL4A1,EGF,F7,FABP1,FABP4,FGF21,GAST,GFAP,GGT1,GP1BB,GSTA1,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,KIF22,KLK3,LEFTY2,LEP,LYN,MMP3,MYH9,NBN,NCK2,OCLN,ODAM,PDE5A,PLAT,PNLIPRP2,POLR2A,PPP2R5A,PRKG1,PSMA1,PTPN6,RAD51,RANBP2,RNF5,SERPINE1,SHC1,SIRPA,SLC16A1,SMC3,SNCA,SRC,STAT5B,TBL1X,TFF1,TP53BP1,TPMT,TPR,TYMP,VAV3,VIM,WASL,YES1"
"GO:BP","response to stress","GO:0006950","false","8.629775245367255e-9","8.064000514941553","3984","86","45","20972","AKT2,ANXA2,APOE,ATF2,CD163,F7,FABP1,FABP4,GFAP,GGT1,GP1BB,ITGA2,ITGA5,ITGAV,ITGB1,KIF22,KLK3,LEP,LYN,MMP3,MYH9,NBN,NCK2,OCLN,ODAM,PLAT,PNLIPRP2,PRKG1,PSMA1,PTPN6,RAD51,RNF5,SERPINE1,SHC1,SIRPA,SMC3,SNCA,SRC,STAT5B,TFF1,TP53BP1,TPR,VAV3,VIM,YES1"
"GO:BP","response to wounding","GO:0009611","false","2.8724496653358787e-8","7.541747572825371","570","86","18","20972","ANXA2,APOE,F7,GP1BB,ITGA2,ITGA5,ITGAV,ITGB1,LYN,MYH9,OCLN,ODAM,PLAT,PRKG1,PTPN6,SERPINE1,SRC,VAV3"
"GO:BP","blood coagulation","GO:0007596","false","3.8032916763011256e-8","7.419840367054725","241","86","13","20972","ANXA2,APOE,F7,GP1BB,ITGA2,LYN,MYH9,PLAT,PRKG1,PTPN6,SERPINE1,SRC,VAV3"
"GO:BP","coagulation","GO:0050817","false","4.9201100588511646e-8","7.308025182310456","246","86","13","20972","ANXA2,APOE,F7,GP1BB,ITGA2,LYN,MYH9,PLAT,PRKG1,PTPN6,SERPINE1,SRC,VAV3"
"GO:BP","hemostasis","GO:0007599","false","5.4451289127644674e-8","7.263991833917477","248","86","13","20972","ANXA2,APOE,F7,GP1BB,ITGA2,LYN,MYH9,PLAT,PRKG1,PTPN6,SERPINE1,SRC,VAV3"
"GO:BP","regulation of response to stress","GO:0080134","true","7.766670495565798e-8","7.109765119590293","1410","86","26","20972","AKT2,ANXA2,APOE,F7,FABP4,GGT1,ITGB1,KLK3,LEP,LYN,MMP3,NBN,NCK2,OCLN,PLAT,PRKG1,PSMA1,PTPN6,RAD51,SERPINE1,SIRPA,SNCA,SRC,STAT5B,TP53BP1,YES1"
"GO:BP","cell surface receptor protein tyrosine kinase signaling pathway","GO:0007169","false","1.9594540241987474e-7","6.707864922168544","641","86","18","20972","AKT2,COL4A1,EGF,F7,FGF21,IGFBP1,IGFBP2,ITGA5,ITGB1,LEP,LYN,NCK2,PLAT,SHC1,SNCA,SRC,STAT5B,YES1"
"GO:BP","response to external stimulus","GO:0009605","false","2.7603198404505364e-7","6.55904059297285","2427","86","33","20972","ANXA2,APOE,ATF2,BHLHE40,CALCA,CHIT1,F7,FABP4,GGT1,IGFBP2,ITGA2,ITGAV,KLK3,LEP,LYN,MMP3,PLAT,PNLIPRP2,PRKG1,PSMA1,PTPN6,RNF5,SERPINE1,SHC1,SIRPA,SNCA,SRC,STAT5B,TYMP,VAV3,VIM,WASL,YES1"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","false","3.761205624982016e-7","6.424672923064194","1639","86","27","20972","ANXA2,APOE,ATF2,CALCA,EGF,ENPP7,F7,FABP4,FGF21,GFAP,GP1BB,IGFBP2,ITGA2,ITGA5,ITGB1,LEP,LYN,NCK2,PLAT,PTPN6,SERPINE1,SIRPA,SRC,STAT5B,TP53BP1,VAV3,YES1"
"GO:BP","import into cell","GO:0098657","false","4.089718364630654e-7","6.388306598324737","958","86","21","20972","AKT2,ANXA2,APOE,CALCA,EGF,FGF21,GFAP,ITGA2,ITGAV,ITGB1,LEP,LYN,MYH9,OCLN,SERPINE1,SIRPA,SNCA,SRC,VAV3,WASL,YES1"
"GO:BP","cell-cell adhesion","GO:0098609","false","4.671295655181261e-7","6.3305626445190475","965","86","21","20972","ANXA2,CALCA,CDH15,CEACAM8,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,LEP,LYN,MYH9,NCK2,PDLIM5,PRKG1,PTPN6,SHC1,SIRPA,SRC,STAT5B,YES1"
"GO:BP","cell migration","GO:0016477","false","4.782729413186845e-7","6.320324188997156","1532","86","26","20972","AKT2,APOE,CALCA,CDH15,CGA,EGF,F7,FGF21,ITGA2,ITGA5,ITGAV,ITGB1,LEP,LYN,MMP3,MYH9,NCK2,PLAT,PRKG1,SERPINE1,SIRPA,SRC,STAT5B,VAV3,WASL,YES1"
"GO:BP","regulation of body fluid levels","GO:0050878","false","7.638689484462108e-7","6.116981143843975","374","86","14","20972","ANXA2,APOE,F7,GP1BB,ITGA2,LYN,MYH9,PLAT,PRKG1,PTPN6,SERPINE1,SRC,STAT5B,VAV3"
"GO:BP","leukocyte migration","GO:0050900","false","0.000001152090150863964","5.938513536111679","386","86","14","20972","CALCA,F7,ITGA2,ITGB1,LEP,LYN,MYH9,SERPINE1,SIRPA,SRC,STAT5B,VAV3,WASL,YES1"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","0.0000019361327873690256","5.713064860434642","2923","86","35","20972","ANXA2,APOE,ATF2,BHLHE40,CALCA,CGA,EGF,ENPP7,F7,FABP4,FGF21,GFAP,GP1BB,IGFBP2,ITGA2,ITGA5,ITGB1,KLK3,LEP,LYN,MYL3,NCK2,PLAT,PRKG1,PTPN6,SERPINE1,SHC1,SIRPA,SNCA,SRC,STAT5B,TP53BP1,TYMP,VAV3,YES1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","false","0.0000025442462995854358","5.594440848458705","2199","86","30","20972","AKT2,APOE,ATF2,CALCA,CES1,CGA,COL4A1,F7,FABP1,FABP4,GSTA1,IGFBP1,IGFBP2,ITGA2,LEP,LYN,MMP3,POLR2A,PTPN6,RAD51,SERPINE1,SHC1,SIRPA,SNCA,SRC,STAT5B,TPMT,VAV3,VIM,YES1"
"GO:BP","regulation of biological quality","GO:0065008","false","0.0000028023524574993597","5.552477243525372","2963","86","35","20972","AKT2,ANXA2,APOE,ATF2,CALCA,CGA,F7,GFAP,GP1BB,ITGA2,ITGAV,ITGB1,KLK3,LEP,LYN,MYH9,MYL3,NCK2,OCLN,PDLIM5,PLAT,PNLIP,PRKG1,PTPN6,RNF5,SERPINE1,SLC16A1,SNCA,SRC,STAT5B,TBL1X,VAV3,VIM,WASL,YES1"
"GO:BP","response to chemical","GO:0042221","false","0.0000047892717438967255","5.319730520333331","3863","86","40","20972","AKT2,APOE,ATF2,CA6,CALCA,CES1,CGA,COL4A1,F7,FABP1,FABP4,GAST,GSTA1,IGFBP1,IGFBP2,ITGA2,ITGAV,ITGB1,LEP,LYN,MMP3,POLR2A,PTPN6,RAD51,RANBP2,RNF5,SERPINE1,SHC1,SIRPA,SLC16A1,SNCA,SRC,STAT5B,TFF1,TPMT,TPR,TYMP,VAV3,VIM,YES1"
"GO:BP","endocytosis","GO:0006897","false","0.000005549765062757346","5.255725401401233","694","86","17","20972","ANXA2,APOE,CALCA,EGF,ITGA2,ITGAV,ITGB1,LEP,LYN,MYH9,SERPINE1,SIRPA,SNCA,SRC,VAV3,WASL,YES1"
"GO:BP","circulatory system development","GO:0072359","true","0.000008623147992273106","5.064334160382487","1135","86","21","20972","ANXA2,APOE,ATF2,CALCA,COL2A1,COL4A1,EGF,ITGA5,ITGAV,ITGB1,KLK3,LEP,MYH9,MYL3,PDLIM5,PRKG1,PTPN6,SERPINE1,SHC1,TYMP,VAV3"
"GO:BP","cell adhesion","GO:0007155","false","0.000010759023138516739","4.968227158484758","1512","86","24","20972","ANXA2,CALCA,CDH15,CEACAM8,GP1BB,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,LEP,LYN,MYH9,NCK2,PDLIM5,PRKG1,PTPN6,SERPINE1,SHC1,SIRPA,SRC,STAT5B,VAV3,YES1"
"GO:BP","blood vessel morphogenesis","GO:0048514","false","0.000010902442052666558","4.962476212957589","632","86","16","20972","ANXA2,APOE,ATF2,COL4A1,EGF,ITGA5,ITGAV,ITGB1,KLK3,LEP,MYH9,PTPN6,SERPINE1,SHC1,TYMP,VAV3"
"GO:BP","angiogenesis","GO:0001525","false","0.000011703080476091072","4.9316998085375365","546","86","15","20972","ANXA2,ATF2,COL4A1,EGF,ITGA5,ITGAV,ITGB1,KLK3,LEP,MYH9,PTPN6,SERPINE1,SHC1,TYMP,VAV3"
